path,latitude,lat ref,longitude,long ref,timestamp
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_15_32_09_Pro.jpg,62.226365,N,9.53137,E,2017:07:13 15:32:10
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_17_38_01_Pro.jpg,61.772325960919446,N,9.509727470577777,E,2017:07:13 17:38:01
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_17_38_28_Pro.jpg,61.772325960919446,N,9.509727470577777,E,2017:07:13 17:38:28
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_17_38_50_Pro.jpg,61.77230416797222,N,9.509670222177778,E,2017:07:13 17:38:50
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_14_27_45_Pro.jpg,61.77213435061389,N,9.509524377063888,E,2017:07:14 14:27:47
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_14_28_06_Pro.jpg,61.77213435061389,N,9.509524377063888,E,2017:07:14 14:28:06
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_14_29_13_Pro.jpg,61.77222386933889,N,9.509513899683334,E,2017:07:14 14:29:14
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_14_52_06_Rich.jpg,61.77229627777778,N,9.509567527777778,E,2017:07:14 14:52:07
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_15_18_50_Pro.jpg,61.772471889852774,N,9.5095280651,E,2017:07:14 15:18:50
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170714_19_12_40_Pro.jpg,61.77325400523889,N,9.489543512463888,E,2017:07:14 19:12:40
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170715_16_54_04_Pro.jpg,61.77937729438889,N,9.543029198891666,E,2017:07:15 16:54:04
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170715_16_54_12_Pro.jpg,61.77937729438889,N,9.543029198891666,E,2017:07:15 16:54:12
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170715_17_17_22_Pro.jpg,61.766395422916666,N,9.52944338652778,E,2017:07:15 17:17:23
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170715_17_25_28_Pro.jpg,61.76566466227778,N,9.532504892916668,E,2017:07:15 17:25:28
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170717_15_12_33_Pro.jpg,59.91413329727778,N,10.736748576163889,E,2017:07:17 15:12:33
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170717_15_12_41_Pro.jpg,59.91413329727778,N,10.736748576163889,E,2017:07:17 15:12:41
